Name,Code,Instructor,School,Department,Semester,Term,Time,Description
Intermediate Bemba,BEMBA BB,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Bemba a major language spoken in Zambia at the Intermediate level (Second year part 2). Contact hours supplemented by digital resources sessions. Emphasis on written expression, reading comprehension, and oral fluency. Students are strongly encouraged to take both parts of the course within the same academic year. The curriculum builds throughout the year. Students taking Bemba BA in the Spring must note that Bemba BB is offered only in the Spring."
Advanced Bemba II,BEMBA 101BR,Mugane,FAS,African & African Amer Studies,2020 Spring,Full Term,,"A study of Bamanankan the major language and lingua franca of Mali and Côte-d'Ivoire at the Advanced level in the Spring semester. As needed, successive advanced readings in Bamanankan may be taken under Bamanankan 101br every Spring."
Evolutionary and Quantitative Genomics,BIOPHYS 170,Mirny,FAS,Biophysics,2019 Fall,Full Term,11:00am - 12:29pm,"Aims to develop deep quantitative understanding of basic forces of evolution, molecular evolution, genetic variations and their dynamics in populations, genetics of complex phenotypes, and genome-wide association studies. Application of these foundational concepts to cutting edge studies in epigenetics, gene regulation and chromatin; cancer genomics, and microbiomes.  Modules consist of lectures, journal club discussions of high impact publications, and guest lectures that provide clinical"
Computational and Functional Genomics,BIOPHYS 205,Bulyk,FAS,Biophysics,2020 Spring,Full Term,2:30pm - 4:00pm,"Experimental functional genomics, computational prediction of gene function, and properties and models of complex biological systems. The course will primarily involve critical reading and discussion rather than lectures."
Special Topics in Biophysics,BIOPHYS 242R,Murthy,FAS,Biophysics,2020 Spring,Full Term,,Biophysical topics emerging from special interest research not normally available in established curriculum. The 2019-20 year's course focus is still being determined.
Introduction to Laboratory Research,BIOPHYS 300,Murthy,FAS,Biophysics,2019 Fall,Full Term,4:30pm - 5:45pm,"Introductory lectures by associated Biophysics faculty members. Lectures Fall semester only accompanied by three periods of instruction in laboratories of structural biology, cell and membrane biophysics, molecular genetics and development, neurobiology, bioinformatics, and physical biochemistry."
Introduction to Laboratory Research,BIOPHYS 300,Murthy,FAS,Biophysics,2020 Spring,Full Term,,"Introductory lectures by associated Biophysics faculty members. Lectures Fall semester only accompanied by three periods of instruction in laboratories of structural biology, cell and membrane biophysics, molecular genetics and development, neurobiology, bioinformatics, and physical biochemistry."
Quantitative Proteomics of Cancer Progression,BIOPHYS 301,Marto,FAS,Biophysics,2019 Fall,Full Term,,
Quantitative Proteomics of Cancer Progression,BIOPHYS 301,Marto,FAS,Biophysics,2020 Spring,Full Term,,
Quantitative Analysis of Regulatory Networks,BIOPHYS 302,O'Shea,FAS,Biophysics,2019 Fall,Full Term,,
Quantitative Analysis of Regulatory Networks,BIOPHYS 302,O'Shea,FAS,Biophysics,2020 Spring,Full Term,,
NMR Studies of Macromolecular Structure and Function,BIOPHYS 303,Wagner,FAS,Biophysics,2019 Fall,Full Term,,
NMR Studies of Macromolecular Structure and Function,BIOPHYS 303,Wagner,FAS,Biophysics,2020 Spring,Full Term,,
Basic Mechanisms of T cell Mediated Autoimmune Diseases,BIOPHYS 304,Wucherpfennig,FAS,Biophysics,2019 Fall,Full Term,,
Basic Mechanisms of T cell Mediated Autoimmune Diseases,BIOPHYS 304,Wucherpfennig,FAS,Biophysics,2020 Spring,Full Term,,
"Experimental Atomic Physics, Biophysics, and Soft Matter Physics",BIOPHYS 305,Walsworth,FAS,Biophysics,2019 Fall,Full Term,,
"Experimental Atomic Physics, Biophysics, and Soft Matter Physics",BIOPHYS 305,Walsworth,FAS,Biophysics,2020 Spring,Full Term,,
Quantitative Models of Cellular Behavior to Investigate Protein Function,BIOPHYS 306,Shah,FAS,Biophysics,2019 Fall,Full Term,,
Quantitative Models of Cellular Behavior to Investigate Protein Function,BIOPHYS 306,Shah,FAS,Biophysics,2020 Spring,Full Term,,
Dynamics of Network Motifs in Single Living Human Cells,BIOPHYS 307,Lahav,FAS,Biophysics,2019 Fall,Full Term,,
Dynamics of Network Motifs in Single Living Human Cells,BIOPHYS 307,Lahav,FAS,Biophysics,2020 Spring,Full Term,,
Motile Behavior of Bacteria,BIOPHYS 309,Berg,FAS,Biophysics,2019 Fall,Full Term,,
Motile Behavior of Bacteria,BIOPHYS 309,Berg,FAS,Biophysics,2020 Spring,Full Term,,
Sensory Information in Neuronal Processes,BIOPHYS 310,Uchida,FAS,Biophysics,2019 Fall,Full Term,,
Sensory Information in Neuronal Processes,BIOPHYS 310,Uchida,FAS,Biophysics,2020 Spring,Full Term,,
Digital Computer Applications in Biophysics,BIOPHYS 311,Bossert,FAS,Biophysics,2019 Fall,Full Term,,
Digital Computer Applications in Biophysics,BIOPHYS 311,Bossert,FAS,Biophysics,2020 Spring,Full Term,,
Multiphoton Microscopy in Imaging Alzheimer's Disease,BIOPHYS 312,Bacskai,FAS,Biophysics,2019 Fall,Full Term,,
Multiphoton Microscopy in Imaging Alzheimer's Disease,BIOPHYS 312,Bacskai,FAS,Biophysics,2020 Spring,Full Term,,
Neurobiology of Vocal Learning,BIOPHYS 313,Olveczky,FAS,Biophysics,2019 Fall,Full Term,,
Neurobiology of Vocal Learning,BIOPHYS 313,Olveczky,FAS,Biophysics,2020 Spring,Full Term,,
Structural Molecular Biology,BIOPHYS 315,Harrison,FAS,Biophysics,2019 Fall,Full Term,,
Structural Molecular Biology,BIOPHYS 315,Harrison,FAS,Biophysics,2020 Spring,Full Term,,
Analysis of Structure and Function of Nicotinic Acetylcholine Receptors,BIOPHYS 319,Cohen,FAS,Biophysics,2019 Fall,Full Term,,
Analysis of Structure and Function of Nicotinic Acetylcholine Receptors,BIOPHYS 319,Cohen,FAS,Biophysics,2020 Spring,Full Term,,
Physical Biology of Chromosomes,BIOPHYS 321,Kleckner,FAS,Biophysics,2019 Fall,Full Term,,
Physical Biology of Chromosomes,BIOPHYS 321,Kleckner,FAS,Biophysics,2020 Spring,Full Term,,
Structural Diversification of Very Long-Chain Fatty Acids,BIOPHYS 322,Denic,FAS,Biophysics,2019 Fall,Full Term,,
Structural Diversification of Very Long-Chain Fatty Acids,BIOPHYS 322,Denic,FAS,Biophysics,2020 Spring,Full Term,,
Transcriptional Regulatory Circuits and Neuronal Circuits in Visual Recognition,BIOPHYS 323,Kreiman,FAS,Biophysics,2019 Fall,Full Term,,
Transcriptional Regulatory Circuits and Neuronal Circuits in Visual Recognition,BIOPHYS 323,Kreiman,FAS,Biophysics,2020 Spring,Full Term,,
Conformational Changes in Macromolecules,BIOPHYS 324,Stultz,FAS,Biophysics,2019 Fall,Full Term,,
Conformational Changes in Macromolecules,BIOPHYS 324,Stultz,FAS,Biophysics,2020 Spring,Full Term,,
Physics of Macromolecular Assemblies and Subcellular Organization,BIOPHYS 325,Needleman,FAS,Biophysics,2019 Fall,Full Term,,
Physics of Macromolecular Assemblies and Subcellular Organization,BIOPHYS 325,Needleman,FAS,Biophysics,2020 Spring,Full Term,,
Statistical and Continuum Mechanics of Macromolecular Assemblies,BIOPHYS 326,Mahadevan,FAS,Biophysics,2019 Fall,Full Term,,
Statistical and Continuum Mechanics of Macromolecular Assemblies,BIOPHYS 326,Mahadevan,FAS,Biophysics,2020 Spring,Full Term,,
Molecular Genetics,BIOPHYS 327,Ausubel,FAS,Biophysics,2019 Fall,Full Term,,
Molecular Genetics,BIOPHYS 327,Ausubel,FAS,Biophysics,2020 Spring,Full Term,,
Computational and Functional Genomics,BIOPHYS 329,Church,FAS,Biophysics,2019 Fall,Full Term,,
Computational and Functional Genomics,BIOPHYS 329,Church,FAS,Biophysics,2020 Spring,Full Term,,
Principles of Self vs. Non-self RNA Discrimination by the Immune System,BIOPHYS 330,Hur,FAS,Biophysics,2019 Fall,Full Term,,
Principles of Self vs. Non-self RNA Discrimination by the Immune System,BIOPHYS 330,Hur,FAS,Biophysics,2020 Spring,Full Term,,
Communication of Information In and Between Cells and Organisms,BIOPHYS 331,Levine,FAS,Biophysics,2019 Fall,Full Term,,
Communication of Information In and Between Cells and Organisms,BIOPHYS 331,Levine,FAS,Biophysics,2020 Spring,Full Term,,
Topics in Biophysics and Molecular Biology,BIOPHYS 333,Seed,FAS,Biophysics,2019 Fall,Full Term,,
Topics in Biophysics and Molecular Biology,BIOPHYS 333,Seed,FAS,Biophysics,2020 Spring,Full Term,,
Decision Making in Cells and Organisms,BIOPHYS 334,Ramanathan,FAS,Biophysics,2019 Fall,Full Term,,
Decision Making in Cells and Organisms,BIOPHYS 334,Ramanathan,FAS,Biophysics,2020 Spring,Full Term,,
Developing novel single-molecule methods to study multi-protein complexes,BIOPHYS 335,Loparo,FAS,Biophysics,2019 Fall,Full Term,,
Developing novel single-molecule methods to study multi-protein complexes,BIOPHYS 335,Loparo,FAS,Biophysics,2020 Spring,Full Term,,
Mass Spectrometric and Proteomic Studies of the Cell Cycle,BIOPHYS 336,Steen,FAS,Biophysics,2019 Fall,Full Term,,
Mass Spectrometric and Proteomic Studies of the Cell Cycle,BIOPHYS 336,Steen,FAS,Biophysics,2020 Spring,Full Term,,
Membrane Structure and Function,BIOPHYS 337,Miller,FAS,Biophysics,2019 Fall,Full Term,,
Membrane Structure and Function,BIOPHYS 337,Miller,FAS,Biophysics,2020 Spring,Full Term,,
Foundation of Information Directed Molecular Technology: Programming Nucleic Acid Self-Assembly,BIOPHYS 338,Yin,FAS,Biophysics,2019 Fall,Full Term,,
Foundation of Information Directed Molecular Technology: Programming Nucleic Acid Self-Assembly,BIOPHYS 338,Yin,FAS,Biophysics,2020 Spring,Full Term,,
Theoretical and Experimental Approaches to Study Genetic Variation within Populations,BIOPHYS 339,Desai,FAS,Biophysics,2019 Fall,Full Term,,
Theoretical and Experimental Approaches to Study Genetic Variation within Populations,BIOPHYS 339,Desai,FAS,Biophysics,2020 Spring,Full Term,,
Novel Theory and Experiments in NMR Spectroscopy,BIOPHYS 340,Kiruluta,FAS,Biophysics,2019 Fall,Full Term,,
Novel Theory and Experiments in NMR Spectroscopy,BIOPHYS 340,Kiruluta,FAS,Biophysics,2020 Spring,Full Term,,
Structure and Function of Ligand-Gated Ion Channels,BIOPHYS 341,Cohen,FAS,Biophysics,2019 Fall,Full Term,,
Structure and Function of Ligand-Gated Ion Channels,BIOPHYS 341,Cohen,FAS,Biophysics,2020 Spring,Full Term,,
Novel Optical Detection for Treatment and Monitoring Approaches Targeting Major Disease,BIOPHYS 342,Evans,FAS,Biophysics,2019 Fall,Full Term,,
Novel Optical Detection for Treatment and Monitoring Approaches Targeting Major Disease,BIOPHYS 342,Evans,FAS,Biophysics,2020 Spring,Full Term,,
"Theoretical Protein Science, Bioinformatics, Computational Chemistry",BIOPHYS 343,Shakhnovich,FAS,Biophysics,2019 Fall,Full Term,,
"Theoretical Protein Science, Bioinformatics, Computational Chemistry",BIOPHYS 343,Shakhnovich,FAS,Biophysics,2020 Spring,Full Term,,
Directed Evolution and Design of Simple Cellular Systems,BIOPHYS 344,Szostak,FAS,Biophysics,2019 Fall,Full Term,,
Directed Evolution and Design of Simple Cellular Systems,BIOPHYS 344,Szostak,FAS,Biophysics,2020 Spring,Full Term,,
Regulation of RNA Polymerase Motor Mechanism In Vivo,BIOPHYS 345,Churchman,FAS,Biophysics,2019 Fall,Full Term,,
Regulation of RNA Polymerase Motor Mechanism In Vivo,BIOPHYS 345,Churchman,FAS,Biophysics,2020 Spring,Full Term,,
Biofilm Dynamics,BIOPHYS 346,Kolter,FAS,Biophysics,2019 Fall,Full Term,,
Biofilm Dynamics,BIOPHYS 346,Kolter,FAS,Biophysics,2020 Spring,Full Term,,
Membrane Dynamics; Membrane Structure,BIOPHYS 347,Golan,FAS,Biophysics,2019 Fall,Full Term,,
Membrane Dynamics; Membrane Structure,BIOPHYS 347,Golan,FAS,Biophysics,2020 Spring,Full Term,,
"Protein Kinases, Reversible Protein Phosphorylation",BIOPHYS 348,Erikson,FAS,Biophysics,2019 Fall,Full Term,,
"Protein Kinases, Reversible Protein Phosphorylation",BIOPHYS 348,Erikson,FAS,Biophysics,2020 Spring,Full Term,,
Structural Biochemistry and Cell Biology of Intracellular Membrane Traffic,BIOPHYS 349,Kirchhausen,FAS,Biophysics,2019 Fall,Full Term,,
Structural Biochemistry and Cell Biology of Intracellular Membrane Traffic,BIOPHYS 349,Kirchhausen,FAS,Biophysics,2020 Spring,Full Term,,
"Organization, Structure and Dynamics of Prokaryotic Cytoplasm",BIOPHYS 350,Garner,FAS,Biophysics,2019 Fall,Full Term,,
"Organization, Structure and Dynamics of Prokaryotic Cytoplasm",BIOPHYS 350,Garner,FAS,Biophysics,2020 Spring,Full Term,,
Mechanical Force in Nanoscale Biology; Hemostasis to Single-Molecule Centrifugation,BIOPHYS 352,Wong,FAS,Biophysics,2019 Fall,Full Term,,
Mechanical Force in Nanoscale Biology; Hemostasis to Single-Molecule Centrifugation,BIOPHYS 352,Wong,FAS,Biophysics,2020 Spring,Full Term,,
Molecular Genetics of Development,BIOPHYS 353,Ruvkun,FAS,Biophysics,2019 Fall,Full Term,,
Molecular Genetics of Development,BIOPHYS 353,Ruvkun,FAS,Biophysics,2020 Spring,Full Term,,
Structural Biology and Cancer Drug Discovery,BIOPHYS 354,Verdine,FAS,Biophysics,2019 Fall,Full Term,,
Structural Biology and Cancer Drug Discovery,BIOPHYS 354,Verdine,FAS,Biophysics,2020 Spring,Full Term,,
Chemical Genetics and Genomics,BIOPHYS 355,Schreiber,FAS,Biophysics,2019 Fall,Full Term,,
Chemical Genetics and Genomics,BIOPHYS 355,Schreiber,FAS,Biophysics,2020 Spring,Full Term,,
Functional Mapping of Neurons and their Axonal Inputs Across Cortical Laminae,BIOPHYS 360,Andermann,FAS,Biophysics,2019 Fall,Full Term,,
Functional Mapping of Neurons and their Axonal Inputs Across Cortical Laminae,BIOPHYS 360,Andermann,FAS,Biophysics,2020 Spring,Full Term,,
Rational Drug Design; Biomaterials Science; Biophysics,BIOPHYS 361,Whitesides,FAS,Biophysics,2019 Fall,Full Term,,
Rational Drug Design; Biomaterials Science; Biophysics,BIOPHYS 361,Whitesides,FAS,Biophysics,2020 Spring,Full Term,,
Molecular Physiology of Ion Channels,BIOPHYS 362,Yellen,FAS,Biophysics,2019 Fall,Full Term,,
Molecular Physiology of Ion Channels,BIOPHYS 362,Yellen,FAS,Biophysics,2020 Spring,Full Term,,
Biophysics of Receptor-Ligand Interactions,BIOPHYS 363,Blacklow,FAS,Biophysics,2019 Fall,Full Term,,
Biophysics of Receptor-Ligand Interactions,BIOPHYS 363,Blacklow,FAS,Biophysics,2020 Spring,Full Term,,
Systems Cell Biology,BIOPHYS 364,Silver,FAS,Biophysics,2019 Fall,Full Term,,
Systems Cell Biology,BIOPHYS 364,Silver,FAS,Biophysics,2020 Spring,Full Term,,
Visual Processing in Primates,BIOPHYS 365,Assad,FAS,Biophysics,2019 Fall,Full Term,,
Visual Processing in Primates,BIOPHYS 365,Assad,FAS,Biophysics,2020 Spring,Full Term,,
"Imaging, Optics, and Biology",BIOPHYS 366,Clapham,FAS,Biophysics,2019 Fall,Full Term,,
"Imaging, Optics, and Biology",BIOPHYS 366,Clapham,FAS,Biophysics,2020 Spring,Full Term,,
Structure Biology of Cytoplasmic Signal Transduction,BIOPHYS 367,Eck,FAS,Biophysics,2019 Fall,Full Term,,
Structure Biology of Cytoplasmic Signal Transduction,BIOPHYS 367,Eck,FAS,Biophysics,2020 Spring,Full Term,,
"Probing Polymers with Nanospores, Experimental Condensed Matter Physics",BIOPHYS 368,TBA,FAS,Biophysics,2019 Fall,Full Term,,
Organic Chemistry and Chemical Biology of Molecular Evolution,BIOPHYS 369,Liu,FAS,Biophysics,2019 Fall,Full Term,,
Organic Chemistry and Chemical Biology of Molecular Evolution,BIOPHYS 369,Liu,FAS,Biophysics,2020 Spring,Full Term,,
Cytoskeleton Dynamics; Mitosis and Cell Locomotion; Small Molecule Inhibitors,BIOPHYS 370,Mitchison,FAS,Biophysics,2019 Fall,Full Term,,
Cytoskeleton Dynamics; Mitosis and Cell Locomotion; Small Molecule Inhibitors,BIOPHYS 370,Mitchison,FAS,Biophysics,2020 Spring,Full Term,,
Mechanisms of Synaptic Transmission and Plasticity,BIOPHYS 371,Murthy,FAS,Biophysics,2019 Fall,Full Term,,
Mechanisms of Synaptic Transmission and Plasticity,BIOPHYS 371,Murthy,FAS,Biophysics,2020 Spring,Full Term,,
Protein Transport Across the ER Membrane,BIOPHYS 372,Rapoport,FAS,Biophysics,2019 Fall,Full Term,,
Protein Transport Across the ER Membrane,BIOPHYS 372,Rapoport,FAS,Biophysics,2020 Spring,Full Term,,
DNA Replication and Repair Mechanisms that Suppress Genomic Instability,BIOPHYS 373,Walter,FAS,Biophysics,2019 Fall,Full Term,,
DNA Replication and Repair Mechanisms that Suppress Genomic Instability,BIOPHYS 373,Walter,FAS,Biophysics,2020 Spring,Full Term,,
Single-Molecule Biophysics,BIOPHYS 375,Xie,FAS,Biophysics,2019 Fall,Full Term,,
Single-Molecule Biophysics,BIOPHYS 375,Xie,FAS,Biophysics,2020 Spring,Full Term,,
Functional and Computational Genomics Studies of Transcription Factors and Cis Regulatory Elements,BIOPHYS 376,Bulyk,FAS,Biophysics,2019 Fall,Full Term,,
Functional and Computational Genomics Studies of Transcription Factors and Cis Regulatory Elements,BIOPHYS 376,Bulyk,FAS,Biophysics,2020 Spring,Full Term,,
Statistical Theory and Inference for Stochastic Processes: With Applications to Bioinformatics,BIOPHYS 377,Liu,FAS,Biophysics,2019 Fall,Full Term,,
Statistical Theory and Inference for Stochastic Processes: With Applications to Bioinformatics,BIOPHYS 377,Liu,FAS,Biophysics,2020 Spring,Full Term,,
Structural and Cellular Biology of Insulin Signal Transduction,BIOPHYS 378,Shoelson,FAS,Biophysics,2019 Fall,Full Term,,
Structural and Cellular Biology of Insulin Signal Transduction,BIOPHYS 378,Shoelson,FAS,Biophysics,2020 Spring,Full Term,,
Theoretical Population Genetics,BIOPHYS 379,Wakeley,FAS,Biophysics,2019 Fall,Full Term,,
Theoretical Population Genetics,BIOPHYS 379,Wakeley,FAS,Biophysics,2020 Spring,Full Term,,
Microarray Data: Issues and Challenges,BIOPHYS 380,Mirny,FAS,Biophysics,2019 Fall,Full Term,,
Microarray Data: Issues and Challenges,BIOPHYS 380,Mirny,FAS,Biophysics,2020 Spring,Full Term,,
Single-Molecule Biophysics,BIOPHYS 381,Zhuang,FAS,Biophysics,2019 Fall,Full Term,,
Single-Molecule Biophysics,BIOPHYS 381,Zhuang,FAS,Biophysics,2020 Spring,Full Term,,
Regulation of Synaptic Transmission and Dendritic Function in the Mammalian Brain,BIOPHYS 382,Sabatini,FAS,Biophysics,2019 Fall,Full Term,,
Regulation of Synaptic Transmission and Dendritic Function in the Mammalian Brain,BIOPHYS 382,Sabatini,FAS,Biophysics,2020 Spring,Full Term,,
NMR Spectroscopy on Membrane-associated Proteins and Peptides,BIOPHYS 384,Chou,FAS,Biophysics,2019 Fall,Full Term,,
NMR Spectroscopy on Membrane-associated Proteins and Peptides,BIOPHYS 384,Chou,FAS,Biophysics,2020 Spring,Full Term,,
Synaptic Plasticity and Neuronal Networks,BIOPHYS 386,Engert,FAS,Biophysics,2019 Fall,Full Term,,
Synaptic Plasticity and Neuronal Networks,BIOPHYS 386,Engert,FAS,Biophysics,2020 Spring,Full Term,,
Structural Studies of the Stereochemistry of Signaling and Transport through Biological Membranes,BIOPHYS 387,Gaudet,FAS,Biophysics,2019 Fall,Full Term,,
Structural Studies of the Stereochemistry of Signaling and Transport through Biological Membranes,BIOPHYS 387,Gaudet,FAS,Biophysics,2020 Spring,Full Term,,
Regulation of Mitosis,BIOPHYS 390,Murray,FAS,Biophysics,2019 Fall,Full Term,,
Regulation of Mitosis,BIOPHYS 390,Murray,FAS,Biophysics,2020 Spring,Full Term,,
"Computational Methods in Genetics, Genomics and Proteomics",BIOPHYS 391,Sunyaev,FAS,Biophysics,2019 Fall,Full Term,,
"Computational Methods in Genetics, Genomics and Proteomics",BIOPHYS 391,Sunyaev,FAS,Biophysics,2020 Spring,Full Term,,
Biophysics of Mechanosensation,BIOPHYS 392,Corey,FAS,Biophysics,2019 Fall,Full Term,,
Biophysics of Mechanosensation,BIOPHYS 392,Corey,FAS,Biophysics,2020 Spring,Full Term,,
The Mechanics and Regulation of Mitosis,BIOPHYS 393,Pellman,FAS,Biophysics,2019 Fall,Full Term,,
The Mechanics and Regulation of Mitosis,BIOPHYS 393,Pellman,FAS,Biophysics,2020 Spring,Full Term,,
Experimental Biophysics,BIOPHYS 394,Prentiss,FAS,Biophysics,2019 Fall,Full Term,,
Experimental Biophysics,BIOPHYS 394,Prentiss,FAS,Biophysics,2020 Spring,Full Term,,
Biophysics of Cell Adhesion and Vascular Shear Flow,BIOPHYS 395,Springer,FAS,Biophysics,2019 Fall,Full Term,,
Biophysics of Cell Adhesion and Vascular Shear Flow,BIOPHYS 395,Springer,FAS,Biophysics,2020 Spring,Full Term,,
Behavioral Neuroscience and Neurophysiology,BIOPHYS 396,Samuel,FAS,Biophysics,2019 Fall,Full Term,,
Behavioral Neuroscience and Neurophysiology,BIOPHYS 396,Samuel,FAS,Biophysics,2020 Spring,Full Term,,
"Research in Integrin Signaling, Cytoskeleton, and Control of Angiogenesis",BIOPHYS 397,Ingber,FAS,Biophysics,2019 Fall,Full Term,,
"Research in Integrin Signaling, Cytoskeleton, and Control of Angiogenesis",BIOPHYS 397,Ingber,FAS,Biophysics,2020 Spring,Full Term,,
Biomolecular Nanotechnology,BIOPHYS 399,Shih,FAS,Biophysics,2019 Fall,Full Term,,
Biomolecular Nanotechnology,BIOPHYS 399,Shih,FAS,Biophysics,2020 Spring,Full Term,,
Graduate Research Course,BIOPHYS 3000,TBA,FAS,Biophysics,2019 Fall,Dynamically Dated,,For students carrying out dissertation research in Biophysics.
Graduate Research Course,BIOPHYS 3000,TBA,FAS,Biophysics,2020 Spring,Dynamically Dated,,For students carrying out dissertation research in Biophysics.
Probability Theory and Applications I,BIOSTAT 230,Pagano,FAS,Biostatistics,2019 Fall,Full Term,2:00pm - 3:30pm,"Axiomatic foundations of probability, independence, conditional probability, joint distributions, transformations, moment generating functions, characteristic functions, moment inequalities, sampling distributions, modes of convergence and their interrelationships, laws of large numbers, central limit theorem, and stochastic processes."
Statistical Inference I,BIOSTAT 231,Gray,FAS,Biostatistics,2020 Spring,Full Term,9:45am - 11:15am,"Exponential families, sufficiency, ancillarity, completeness, method of moments, maximum likelihood, unbiased estimation, Rao-Blackwell and Lehmann-Scheffe theorems, information inequality, Neyman-Pearson theory, likelihood ratio, score and Wald tests, uniformly and locally most powerful tests, asymptotic relative efficiency."
Methods I,BIOSTAT 232,Coull,FAS,Biostatistics,2019 Fall,Full Term,8:00am - 9:30am,"Introductory course in the analysis of Gaussian and categorical data. The general linear regression model, ANOVA, robust alternatives based on permutations, model building, resampling methods (bootstrap and jackknife), contingency tables, exact methods, logistic regression."
Introduction to Data Structures and Algorithms,BIOSTAT 234,Lange,FAS,Biostatistics,2020 Spring,Full Term,11:30am - 1:00pm,Introduction to the data structures and computer algorithms that are relevant to statistical computing. The implementation of data structures and algorithms for data management and numerical computations are discussed.
Advanced Regression and Statistical Learning,BIOSTAT 235,Mukherjee,FAS,Biostatistics,2019 Fall,Full Term,9:45am - 11:15am,"An advanced course in linear models, including both classical theory and methods for high dimensional data. Topics include theory of estimation and hypothesis testing, multiple testing problems and false discovery rates, cross validation and model selection, regularization and the LASSO, principal components and dimension reduction, and classification methods. Background in matrix algebra and linear regression required."
Principles and Advanced Topics in Clinical Trials,BIOSTAT 238,Wypij,FAS,Biostatistics,2020 Spring,Full Term,2:00pm - 3:30pm,"This course focuses on selected advanced topics in design, analysis, and interpretation of clinical trials, including study design; choice of endpoints (including surrogate endpoints); interim analyses and group sequential methods; subgroup analyses; and meta-analyses."
Probability Theory and Applications II,BIOSTAT 240,Trippa,FAS,Biostatistics,2019 Fall,Full Term,2:00pm - 3:30pm,"A foundational course in measure theoretic probability. Topics include measure theory, Lebesgue integration, product measure and Fubini's Theorem, Radon-Nikodym derivatives, conditional probability, conditional expectation, limit theorems on sequences of random variables, stochastic processes, and weak convergence."
Statistical Inference II,BIOSTAT 241,Wang,FAS,Biostatistics,2020 Spring,Full Term,2:00pm - 3:30pm,"Advanced topics in statistical inference. Limit theorems, multivariate delta method, properties of maximum likelihood estimators, saddle point approximations, asymptotic relative efficiency, robust and rank-based procedures, resampling methods, nonparametric curve estimation."
Analysis of Multivariate and Longitudinal Data,BIOSTAT 245,Haneuse,FAS,Biostatistics,2020 Spring,Full Term,9:45am - 11:15am,"The multivariate normal distribution, Hotelling's T2, MANOVA, repeated measures, the multivariate linear model, random effects and growth curve models, generalized estimating equations, multivariate categorical outcomes, missing data, computational issues for traditional and new methodologies."
Bayesian Methodology in Biostatistics,BIOSTAT 249,Miller,FAS,Biostatistics,2020 Spring,Full Term,3:45pm - 5:15pm,"General principles of the Bayesian approach, prior distributions, hierarchical models and modeling techniques, approximate inference, Markov chain Monte Carlo methods, model assessment and comparison. Bayesian approaches to GLMMs, multiple testing, nonparametrics, clinical trials, survival analysis."
Genomic Data Manipulation,BIOSTAT 281,Huttenhower,FAS,Biostatistics,2020 Spring,Full Term,3:45pm - 5:15pm,"Introduction to genomic data, computational methods for interpreting these data, and survey of current functional genomics research. Covers biological data processing, programming for large datasets, high-throughput data (sequencing, proteomics, expression, etc.), and related publications."
Introduction to Computational Biology and Bioinformatics,BIOSTAT 282,TBA,FAS,Biostatistics,2020 Spring,Full Term,,"Basic biological problems, genomics technology platforms, algorithms and data analysis approaches in computational biology. There will be three major components of the course: microarray and RNA-seq analysis, transcription and epigenetic gene regulation, cancer genomics.This course is targeted at both biostatistics and biological science graduate students with some statistics and computer programming background who have an interest in exploring genomic data analysis and algorithm development as"
Teaching Assistant,BIOSTAT 311,TBA,FAS,Biostatistics,2019 Fall,Dynamically Dated,,Work with instructors in the department in laboratory instruction and other teaching-related duties.
Teaching Assistant,BIOSTAT 311,TBA,FAS,Biostatistics,2020 Spring,Dynamically Dated,,Work with instructors in the department in laboratory instruction and other teaching-related duties.
Research,BIOSTAT 350 001,Zigler,FAS,Biostatistics,2019 Fall,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 001,Zigler,FAS,Biostatistics,2020 Spring,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 002,Williams,FAS,Biostatistics,2019 Fall,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 002,Williams,FAS,Biostatistics,2020 Spring,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 004,Tchetgen Tchetgen,FAS,Biostatistics,2019 Fall,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 004,Tchetgen Tchetgen,FAS,Biostatistics,2020 Spring,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 005,Hughes,FAS,Biostatistics,2019 Fall,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 005,Mukherjee,FAS,Biostatistics,2020 Spring,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
Research,BIOSTAT 350 006,Lu,FAS,Biostatistics,2020 Spring,Full Term,,For doctoral candidates who have passed their written qualifying examination and who are undertaking advanced work along the lines of fundamental or applied dissertation research in the department.
